record_no,drink_frequency,drink_frequency_binary,roast_level,price,bean_origin,locality_of_roaster,decaf_ava,ground,user_comments,user_reviews_stars,organic_ava,certification_labels,top3_roast_level,top3_price,top3_bean_origin,top3_locality_of_roaster,top3_decaf_ava,top3_ground,top3_user_comments,top3_user_reviews_stars,top3_organic_ava,top3_certification_labels,binary_roast_level,binary_price,binary_bean_origin,binary_locality_of_roaster,binary_decaf_ava,binary_ground,binary_user_comments,binary_user_reviews_stars,binary_organic_ava,binary_certification_labels,no_binary_selections
49,1,1,,1,,,,,,,3,2,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2
48,2,1,1,2,,,3,,,,,,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4
47,1,1,1,,,,,,3,2,,,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,5
46,3,0,2,1,,3,,,,,,,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
45,1,1,2,1,,3,,,,,,,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
44,2,1,1,2,,,,,,3,,,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3
43,2,1,2,1,,3,,,,,,,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4
42,2,1,1,2,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
41,5,0,3,1,,,,,,2,,,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
40,2,1,3,,,2,,,,,1,,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,4
39,2,1,2,3,,,,1,,,,,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
38,5,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
37,2,1,1,2,,,,,,3,,,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,4
36,5,0,2,1,,3,,,,,,,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
35,2,1,1,,,,,,,2,3,,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,5
34,4,0,1,,,,,,,,2,3,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,3
33,2,1,3,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
32,2,1,1,2,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
31,2,1,1,,2,3,,,,,,,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
30,4,0,3,2,,,,,,1,,,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
29,3,0,1,2,3,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
28,5,0,1,2,3,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
27,5,0,1,2,,,,,,3,,,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
26,5,0,2,,3,,1,,,,,,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
25,1,1,2,,,,,,,,1,3,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,5
24,2,1,1,2,,,,,,,,3,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,6
23,2,1,,1,,,,,3,2,,,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2
22,2,1,1,3,2,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,5
21,2,1,3,2,,1,,,,,,,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,4
20,5,0,,3,,2,1,,,,,,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
19,2,1,1,2,,,,,,,,3,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,4
18,2,1,1,2,3,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
17,2,1,1,2,,,,,3,,,,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,5
16,4,0,3,,2,1,,,,,,,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
15,2,1,2,1,,,,,,,,3,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3
14,5,0,1,2,3,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
13,2,1,3,2,,,,1,,,,,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
12,3,0,1,2,,3,,,,,,,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,4
11,2,1,2,,1,3,,,,,,,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
10,1,1,,1,,,,2,,,,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,4
9,1,1,2,1,,,,,,,,3,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3
8,2,1,2,1,,3,,,,,,,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,2,1,3,,,1,,,2,,,,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,6
6,2,1,,,,,1,,,,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,4
5,2,1,1,2,,,,,,,,3,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3
4,2,1,2,3,,,,,1,,,,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,4
3,2,1,1,2,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
2,1,1,2,3,,,,1,,,,,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
1,2,1,2,1,,,,,,3,,,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,5
