roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,has_reviews,price_numeric,size_oz,price_per_oz
Victrola Coffee Roasters,Peru Chirinos,Peru,Light Roast,12oz,$21.60 ,4,4,100,FALSE,FALSE,TRUE,FALSE,"Light Roast, Peru, Single Origin",TRUE,21.6,12,1.8
Victrola Coffee Roasters,Deco Decaf Blend,Unspecified,Medium-Dark Roast,12oz,$14.36 ,3,4,75,TRUE,TRUE,FALSE,FALSE,"Medium-Dark Roast, Blend, Decaf, Organic",TRUE,14.36,12,1.2
Camber Coffee,Struttura,Unspecified,Medium Roast,12oz,$21.60 ,3,4,75,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Available Ground",TRUE,21.6,12,1.8
Camber Coffee,Struttura,Unspecified,Medium Roast,32oz,$50.40 ,3,4,75,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Available Ground",TRUE,50.4,32,1.57
Camber Coffee,Struttura,Unspecified,Medium Roast,80oz,$112.50 ,3,4,75,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Available Ground",TRUE,112.5,80,1.41
Stamp Act Coffee,"Diego Ramirez - Huehuetenango, Guatemala",Guatemala,Light-Medium Roast,12oz,$21.60 ,3,4,75,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Guatemala, Single Origin",TRUE,21.6,12,1.8
Stamp Act Coffee,"Diego Ramirez - Huehuetenango, Guatemala",Guatemala,Light-Medium Roast,32oz,$51.84 ,3,4,75,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Guatemala, Single Origin",TRUE,51.84,32,1.62
Stamp Act Coffee,"Diego Ramirez - Huehuetenango, Guatemala",Guatemala,Light-Medium Roast,80oz,$129.60 ,3,4,75,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Guatemala, Single Origin",TRUE,129.6,80,1.62
Tonys Coffee,Half Calf,Unspecified,Medium Roast,12oz,$17.10 ,2,4,50,TRUE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Organic, Half Decaf - Half Regular, Available Ground",TRUE,17.1,12,1.43
Tonys Coffee,Half Calf,Unspecified,Medium Roast,80oz,$63.00 ,2,4,50,TRUE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Organic, Half Decaf - Half Regular, Available Ground",TRUE,63,80,0.79
Tonys Coffee,Small Farms,Unspecified,Light-Medium Roast,12oz,$16.20 ,2,5,40,FALSE,TRUE,FALSE,TRUE,"Light-Medium Roast, Blend, Available Ground, Kosher",TRUE,16.2,12,1.35
Tonys Coffee,Small Farms,Unspecified,Light-Medium Roast,80oz,$76.50 ,2,5,40,FALSE,TRUE,FALSE,TRUE,"Light-Medium Roast, Blend, Available Ground, Kosher",TRUE,76.5,80,0.96
Blossom Coffee Roasters,Kenya - Gatugi AA - Washed,Kenya,Light Roast,12oz,$20.70 ,2,3,66.7,FALSE,FALSE,TRUE,TRUE,"Light Roast, Kenya, Available Ground, Single Origin",TRUE,20.7,12,1.72
Blossom Coffee Roasters,Kenya - Gatugi AA - Washed,Kenya,Light Roast,32oz,$46.80 ,2,3,66.7,FALSE,FALSE,TRUE,TRUE,"Light Roast, Kenya, Available Ground, Single Origin",TRUE,46.8,32,1.46
Blossom Coffee Roasters,Kenya - Gatugi AA - Washed,Kenya,Light Roast,80oz,$103.50 ,2,3,66.7,FALSE,FALSE,TRUE,TRUE,"Light Roast, Kenya, Available Ground, Single Origin",TRUE,103.5,80,1.29
Stamp Act Coffee,"Kolla Bolcha - Agaro, Ethiopia",Ethiopia,Light Roast,12oz,$21.60 ,2,3,66.7,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Single Origin",TRUE,21.6,12,1.8
Stamp Act Coffee,"Kolla Bolcha - Agaro, Ethiopia",Ethiopia,Light Roast,32oz,$51.84 ,2,3,66.7,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Single Origin",TRUE,51.84,32,1.62
Stamp Act Coffee,"Kolla Bolcha - Agaro, Ethiopia",Ethiopia,Light Roast,80oz,$124.20 ,2,3,66.7,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Single Origin",TRUE,124.2,80,1.55
Stamp Act Coffee,Base Layers - A Winter Blend 2025/26,Unspecified,Light-Medium Roast,12oz,$21.15 ,2,2,100,FALSE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend",TRUE,21.15,12,1.76
Stamp Act Coffee,Base Layers - A Winter Blend 2025/26,Unspecified,Light-Medium Roast,32oz,$49.41 ,2,2,100,FALSE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend",TRUE,49.41,32,1.54
Stamp Act Coffee,Base Layers - A Winter Blend 2025/26,Unspecified,Light-Medium Roast,80oz,$121.95 ,2,2,100,FALSE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend",TRUE,121.95,80,1.52
Blossom Coffee Roasters,Guatemala - Antonio Martinez  - Washed,Guatemala,Light Roast,12oz,$20.70 ,2,2,100,FALSE,FALSE,TRUE,TRUE,"Light Roast, Guatemala, Available Ground, Single Origin",TRUE,20.7,12,1.72
Blossom Coffee Roasters,Guatemala - Antonio Martinez  - Washed,Guatemala,Light Roast,16oz,$23.85 ,2,2,100,FALSE,FALSE,TRUE,TRUE,"Light Roast, Guatemala, Available Ground, Single Origin",TRUE,23.85,16,1.49
Blossom Coffee Roasters,Guatemala - Antonio Martinez  - Washed,Guatemala,Light Roast,32oz,$45.00 ,2,2,100,FALSE,FALSE,TRUE,TRUE,"Light Roast, Guatemala, Available Ground, Single Origin",TRUE,45,32,1.41
Blossom Coffee Roasters,Guatemala - Antonio Martinez  - Washed,Guatemala,Light Roast,80oz,$99.00 ,2,2,100,FALSE,FALSE,TRUE,TRUE,"Light Roast, Guatemala, Available Ground, Single Origin",TRUE,99,80,1.24
Kuma Coffee Roasters,Momma Bear 50/50 Decaf-Regular Blend,Unspecified,Light-Medium Roast,12oz,$21.47 ,1,2,50,TRUE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend, Half Decaf - Half Regular",TRUE,21.47,12,1.79
Olympia Coffee Roasting Co,Colombia Taita,Colombia,Light Roast,12oz,$23.40 ,1,1,100,FALSE,FALSE,TRUE,FALSE,"Light Roast, Colombia, Direct Trade, Fair Trade, Single Origin",TRUE,23.4,12,1.95
Olympia Coffee Roasting Co,Colombia Taita,Colombia,Light Roast,32oz,$57.35 ,1,1,100,FALSE,FALSE,TRUE,FALSE,"Light Roast, Colombia, Direct Trade, Fair Trade, Single Origin",TRUE,57.35,32,1.79
Olympia Coffee Roasting Co,Colombia Taita,Colombia,Light Roast,80oz,$132.12 ,1,1,100,FALSE,FALSE,TRUE,FALSE,"Light Roast, Colombia, Direct Trade, Fair Trade, Single Origin",TRUE,132.12,80,1.65
Tonys Coffee,Trail Breaker,Unspecified,Dark Roast,12oz,$20.11 ,1,1,100,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Available Ground",TRUE,20.11,12,1.68
Victrola Coffee Roasters,Mexico Teddy Kim,Mexico,Light Roast,12oz,$22.50 ,1,1,100,FALSE,FALSE,TRUE,FALSE,"Light Roast, Mexico, Single Origin",TRUE,22.5,12,1.88
Camber Coffee,Colombia Aponte Village,Colombia,Light Roast,12oz,$22.50 ,1,1,100,FALSE,FALSE,TRUE,TRUE,"Light Roast, Colombia, Available Ground, Single Origin",TRUE,22.5,12,1.88
Camber Coffee,Colombia Aponte Village,Colombia,Light Roast,32oz,$53.10 ,1,1,100,FALSE,FALSE,TRUE,TRUE,"Light Roast, Colombia, Available Ground, Single Origin",TRUE,53.1,32,1.66
Camber Coffee,Colombia Aponte Village,Colombia,Light Roast,80oz,$117.00 ,1,1,100,FALSE,FALSE,TRUE,TRUE,"Light Roast, Colombia, Available Ground, Single Origin",TRUE,117,80,1.46
Blossom Coffee Roasters,Ethiopia Uraga Suke - Natural,Ethiopia,Light-Medium Roast,12oz,$20.25 ,1,1,100,FALSE,FALSE,TRUE,TRUE,"Light-Medium Roast, Ethiopia, Available Ground, Single Origin",TRUE,20.25,12,1.69
Blossom Coffee Roasters,Ethiopia Uraga Suke - Natural,Ethiopia,Light-Medium Roast,32oz,$45.00 ,1,1,100,FALSE,FALSE,TRUE,TRUE,"Light-Medium Roast, Ethiopia, Available Ground, Single Origin",TRUE,45,32,1.41
Blossom Coffee Roasters,Ethiopia Uraga Suke - Natural,Ethiopia,Light-Medium Roast,80oz,$99.00 ,1,1,100,FALSE,FALSE,TRUE,TRUE,"Light-Medium Roast, Ethiopia, Available Ground, Single Origin",TRUE,99,80,1.24
Caffe Vita,KEXP Blend,Unspecified,Medium Roast,12oz,$17.10 ,0,0,0,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground",FALSE,17.1,12,1.43
Caffe Vita,KEXP Blend,Unspecified,Medium Roast,80oz,$90.00 ,0,0,0,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground",FALSE,90,80,1.12
Anchorhead Coffee,Megalodon Blend,Unspecified,Medium-Dark Roast,10oz,$18.90 ,0,0,0,FALSE,TRUE,FALSE,FALSE,"Medium-Dark Roast, Blend",FALSE,18.9,10,1.89
Anchorhead Coffee,Megalodon Blend,Unspecified,Medium-Dark Roast,32oz,$51.08 ,0,0,0,FALSE,TRUE,FALSE,FALSE,"Medium-Dark Roast, Blend",FALSE,51.08,32,1.6
Olympia Coffee Roasting Co,Colombia Clinton Ossa Micro Lot,Colombia,Light Roast,12oz,$26.55 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Colombia, Fair Trade, Direct Trade, Single Origin",FALSE,26.55,12,2.21
Olympia Coffee Roasting Co,Colombia Clinton Ossa Micro Lot,Colombia,Light Roast,32oz,$66.26 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Colombia, Fair Trade, Direct Trade, Single Origin",FALSE,66.26,32,2.07
Olympia Coffee Roasting Co,Colombia Clinton Ossa Micro Lot,Colombia,Light Roast,80oz,$154.40 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Colombia, Fair Trade, Direct Trade, Single Origin",FALSE,154.4,80,1.93
Victrola Coffee Roasters,Colombia Jose Gomez,Colombia,Light Roast,12oz,$21.60 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Colombia, Single Origin",FALSE,21.6,12,1.8
Victrola Coffee Roasters,Paramount Blend,Unspecified,Dark Roast,12oz,$16.20 ,0,0,0,FALSE,TRUE,FALSE,FALSE,"Dark  Roast, Blend",FALSE,16.2,12,1.35
Victrola Coffee Roasters,Space Blend,Unspecified,Medium Roast,12oz,$17.10 ,0,0,0,FALSE,TRUE,FALSE,FALSE,"Medium Roast, Blend",FALSE,17.1,12,1.43
Olympia Coffee Roasting Co,Ethiopia Buncho Honey,Ethiopia,Light Roast,12oz,$23.40 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Fair Trade, Direct Trade, Single Origin",FALSE,23.4,12,1.95
Olympia Coffee Roasting Co,Ethiopia Buncho Honey,Ethiopia,Light Roast,32oz,$60.75 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Fair Trade, Direct Trade, Single Origin",FALSE,60.75,32,1.9
Olympia Coffee Roasting Co,Ethiopia Buncho Honey,Ethiopia,Light Roast,80oz,$124.88 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Fair Trade, Direct Trade, Single Origin",FALSE,124.88,80,1.56
Ladro Roasting,Ladro Blend,Unspecified,Medium Roast,12oz,$20.98 ,0,0,0,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground",FALSE,20.98,12,1.75
Ladro Roasting,Ladro Blend,Unspecified,Medium Roast,80oz,$92.13 ,0,0,0,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground",FALSE,92.13,80,1.15
Olympia Coffee Roasting Co,Peru Espíritu Wari Reserva,Peru,Light Roast,12oz,$21.60 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Peru, Direct Trade, Fair Trade, Single Origin",FALSE,21.6,12,1.8
Olympia Coffee Roasting Co,Peru Espíritu Wari Reserva,Peru,Light Roast,32oz,$52.92 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Peru, Direct Trade, Fair Trade, Single Origin",FALSE,52.92,32,1.65
Olympia Coffee Roasting Co,Peru Espíritu Wari Reserva,Peru,Light Roast,80oz,$121.05 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Peru, Direct Trade, Fair Trade, Single Origin",FALSE,121.05,80,1.51
Tonys Coffee,Morning Tide,Unspecified,Light-Medium Roast,12oz,$21.02 ,0,0,0,FALSE,TRUE,FALSE,TRUE,"Light-Medium Roast, Blend, Organic, Available Ground",FALSE,21.02,12,1.75
Victrola Coffee Roasters,Nicaragua Luis Alberto,Nicaragua,Light Roast,12oz,$21.60 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Nicaragua, Single Origin",FALSE,21.6,12,1.8
Victrola Coffee Roasters,Guatemala Patzun Chimaltenango,Guatemala,Light Roast,12oz,$22.50 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Guatemala, Single Origin",FALSE,22.5,12,1.88
Anchorhead Coffee,Peru Valle Sandia Reserve,Peru,Light-Medium Roast,10oz,$21.60 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Peru, Single Origin",FALSE,21.6,10,2.16
Anchorhead Coffee,Peru Valle Sandia Reserve,Peru,Light-Medium Roast,32oz,$58.50 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Peru, Single Origin",FALSE,58.5,32,1.83
Camber Coffee,Kenya Kii,Kenya,Light Roast,12oz,$23.40 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light Roast, Kenya, Available Ground, Single Origin",FALSE,23.4,12,1.95
Camber Coffee,Kenya Kii,Kenya,Light Roast,32oz,$55.80 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light Roast, Kenya, Available Ground, Single Origin",FALSE,55.8,32,1.74
Camber Coffee,Kenya Kii,Kenya,Light Roast,80oz,$123.30 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light Roast, Kenya, Available Ground, Single Origin",FALSE,123.3,80,1.54
Olympia Coffee Roasting Co,20th Anniversary Blend,Unspecified,Light Roast,12oz,$23.40 ,0,0,0,FALSE,TRUE,FALSE,FALSE,"Light Roast, Blend",FALSE,23.4,12,1.95
Olympia Coffee Roasting Co,20th Anniversary Blend,Unspecified,Light Roast,32oz,$57.73 ,0,0,0,FALSE,TRUE,FALSE,FALSE,"Light Roast, Blend",FALSE,57.73,32,1.8
Olympia Coffee Roasting Co,20th Anniversary Blend,Unspecified,Light Roast,80oz,$133.07 ,0,0,0,FALSE,TRUE,FALSE,FALSE,"Light Roast, Blend",FALSE,133.07,80,1.66
Kuma Coffee Roasters,Decaf Ethiopia Natural Suke Quto,Ethiopia,Medium Roast,12oz,$25.69 ,0,0,0,TRUE,FALSE,TRUE,FALSE,"Medium Roast, Ethiopia, Decaf, Single Origin",FALSE,25.69,12,2.14
Victrola Coffee Roasters,Guatemala David Solano,Guatemala,Light Roast,12oz,$21.60 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Guatemala, Single Origin",FALSE,21.6,12,1.8
Camber Coffee,Ethiopia Taaroo,Ethiopia,Light Roast,32oz,$66.60 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light Roast, Ethiopia, Available Ground, Single Origin",FALSE,66.6,32,2.08
Camber Coffee,Ethiopia Taaroo,Ethiopia,Light Roast,80oz,$142.20 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light Roast, Ethiopia, Available Ground, Single Origin",FALSE,142.2,80,1.78
Blossom Coffee Roasters,Colombia - Bourbon Sidra - Washed,Colombia,Light-Medium Roast,12oz,$21.60 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light-Medium Roast, Colombia, Available Ground, Single Origin",FALSE,21.6,12,1.8
Blossom Coffee Roasters,Colombia - Bourbon Sidra - Washed,Colombia,Light-Medium Roast,32oz,$46.80 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light-Medium Roast, Colombia, Available Ground, Single Origin",FALSE,46.8,32,1.46
Camber Coffee,Ethiopia Biloya,Ethiopia,Light Roast,12oz,$23.40 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light Roast, Ethiopia, Available Ground, Single Origin",FALSE,23.4,12,1.95
Camber Coffee,Ethiopia Biloya,Ethiopia,Light Roast,32oz,$55.80 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light Roast, Ethiopia, Available Ground, Single Origin",FALSE,55.8,32,1.74
Camber Coffee,Ethiopia Biloya,Ethiopia,Light Roast,80oz,$122.40 ,0,0,0,FALSE,FALSE,TRUE,TRUE,"Light Roast, Ethiopia, Available Ground, Single Origin",FALSE,122.4,80,1.53
Anchorhead Coffee,Colombia Cauca Cosurca,Colombia,Light-Medium Roast,10oz,$21.60 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Colombia, Single Origin",FALSE,21.6,10,2.16
Anchorhead Coffee,Colombia Cauca Cosurca,Colombia,Light-Medium Roast,32oz,$58.50 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Colombia, Single Origin",FALSE,58.5,32,1.83
Olympia Coffee Roasting Co,Ethiopia Kokose Natural,Ethiopia,Light Roast,12oz,$24.30 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Single Origin",FALSE,24.3,12,2.02
Olympia Coffee Roasting Co,Ethiopia Kokose Natural,Ethiopia,Light Roast,32oz,$59.89 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Single Origin",FALSE,59.89,32,1.87
Olympia Coffee Roasting Co,Ethiopia Kokose Natural,Ethiopia,Light Roast,80oz,$138.47 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Single Origin",FALSE,138.47,80,1.73
Olympia Coffee Roasting Co,Ethiopia Bochesa,Ethiopia,Light Roast,12oz,$24.75 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Single Origin",FALSE,24.75,12,2.06
Olympia Coffee Roasting Co,Ethiopia Bochesa,Ethiopia,Light Roast,32oz,$61.40 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Single Origin",FALSE,61.4,32,1.92
Olympia Coffee Roasting Co,Ethiopia Bochesa,Ethiopia,Light Roast,80oz,$142.25 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Single Origin",FALSE,142.25,80,1.78
Olympia Coffee Roasting Co,Kenya Boma AA Micro Lot 12,Kenya,Light Roast,12oz,$22.50 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Kenya, Single Origin",FALSE,22.5,12,1.88
Olympia Coffee Roasting Co,Kenya Boma AA Micro Lot 12,Kenya,Light Roast,32oz,$55.51 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Kenya, Single Origin",FALSE,55.51,32,1.73
Olympia Coffee Roasting Co,Kenya Boma AA Micro Lot 12,Kenya,Light Roast,80oz,$127.53 ,0,0,0,FALSE,FALSE,TRUE,FALSE,"Light Roast, Kenya, Single Origin",FALSE,127.53,80,1.59
